"customerkey","geographykey","customername","englisheducation","commutedistance"
11237,161,"Clarence Anand","Bachelors","0-1 Miles"
11238,232,"Mayra Prasad","Bachelors","0-1 Miles"
11239,249,"Latoya Goel","Partial College","5-10 Miles"
11240,273,"Anne Hernandez","Partial College","5-10 Miles"
11241,211,"Lisa Cai","Partial College","5-10 Miles"
11242,209,"Larry Munoz","Partial College","5-10 Miles"
11243,237,"Robin Alvarez","Partial College","0-1 Miles"
11244,267,"Alexis Coleman","Bachelors","0-1 Miles"
11245,132,"Ricky Vazquez","High School","5-10 Miles"
11246,147,"Latasha Rubio","High School","5-10 Miles"
11247,242,"Claudia Zhou","Partial College","0-1 Miles"
11248,223,"Tristan Alexander","Partial College","10+ Miles"
11249,178,"Cindy Patel","Partial College","0-1 Miles"
11250,276,"Shannon Liu","High School","5-10 Miles"
11251,50,"Xavier Long","High School","5-10 Miles"
11252,335,"Nicholas Thompson","Graduate Degree","2-5 Miles"
11253,69,"José Hernandez","Graduate Degree","1-2 Miles"
11254,612,"Johnathan Vance","Graduate Degree","5-10 Miles"
11255,612,"Colin Lin","Graduate Degree","5-10 Miles"
11256,626,"Katelyn Hernandez","Graduate Degree","5-10 Miles"
11257,345,"Jacqueline Powell","Graduate Degree","2-5 Miles"
11258,352,"Xavier Hill","Graduate Degree","2-5 Miles"
11259,548,"Victoria Stewart","Partial College","2-5 Miles"
11260,302,"Katelyn Kelly","Bachelors","2-5 Miles"
11261,359,"Stephanie Collins","Graduate Degree","0-1 Miles"
11262,60,"Jennifer Simmons","Bachelors","0-1 Miles"
11263,612,"Trinity Richardson","Partial College","2-5 Miles"
11264,618,"Eduardo Martin","Partial College","0-1 Miles"
11265,623,"Elizabeth Jones","Partial College","0-1 Miles"
11266,632,"Taylor Howard","Partial College","5-10 Miles"
11267,302,"David Diaz","Partial College","2-5 Miles"
11268,312,"Katelyn Carter","Graduate Degree","1-2 Miles"
11269,314,"Ryan Foster","Graduate Degree","0-1 Miles"
11270,334,"Robert Lee","Graduate Degree","0-1 Miles"
11271,360,"Danielle Reed","Bachelors","1-2 Miles"
11272,300,"Lauren Martinez","Partial College","5-10 Miles"
11273,331,"Nathan Lal","Partial College","10+ Miles"
11274,609,"Kyle Foster","Graduate Degree","5-10 Miles"
11275,310,"Jenny Rai","Graduate Degree","0-1 Miles"
11276,49,"Nancy Chapman","Partial College","2-5 Miles"
11277,62,"Charles Jackson","Partial College","0-1 Miles"
11278,614,"Jonathan Phillips","Partial College","10+ Miles"
11279,616,"Amanda Cook","Partial College","10+ Miles"
11280,626,"Robert Collins","Partial College","10+ Miles"
11281,301,"Megan Barnes","Bachelors","5-10 Miles"
11282,612,"Christian Thomas","Partial College","1-2 Miles"
11283,299,"Arturo Lal","Bachelors","1-2 Miles"
11284,307,"Theresa Serrano","Bachelors","1-2 Miles"
11285,322,"Jeremy Anderson","Partial College","2-5 Miles"
11286,374,"Hunter Griffin","Graduate Degree","2-5 Miles"
11287,49,"Henry Garcia","Partial College","5-10 Miles"
11288,301,"Cindy Sanchez","Bachelors","2-5 Miles"
11289,315,"Maria Carter","Bachelors","0-1 Miles"
11290,334,"Katelyn Sanchez","Bachelors","2-5 Miles"
11291,335,"Jenna Wright","Bachelors","2-5 Miles"
11292,361,"Seth Phillips","Partial College","0-1 Miles"
11293,632,"Luke Long","High School","1-2 Miles"
11294,618,"Dalton Clark","High School","1-2 Miles"
11295,311,"Taylor Lewis","Partial High School","5-10 Miles"
11296,616,"Haley Richardson","Graduate Degree","5-10 Miles"
11297,301,"Noah Coleman","Graduate Degree","5-10 Miles"
11298,307,"Jon Luo","Graduate Degree","1-2 Miles"
11299,301,"Orlando Vazquez","Graduate Degree","1-2 Miles"
11300,54,"Fernando Barnes","Partial College","1-2 Miles"
11301,607,"Cameron Rodriguez","Partial College","5-10 Miles"
11302,539,"Spencer Russell","High School","1-2 Miles"
11303,614,"Julia Coleman","High School","1-2 Miles"
11304,547,"Julia Garcia","Partial College","5-10 Miles"
11305,307,"Sean Evans","Partial College","2-5 Miles"
11306,312,"Micah Zhou","Partial College","2-5 Miles"
11307,314,"Hunter Rodriguez","Partial High School","5-10 Miles"
11308,546,"Ian Gonzales","High School","1-2 Miles"
11309,536,"Victoria Lewis","High School","5-10 Miles"
11310,360,"Erin Sanders","Graduate Degree","5-10 Miles"
11311,626,"Gabrielle Lopez","Graduate Degree","1-2 Miles"
11312,626,"Sara Richardson","Graduate Degree","5-10 Miles"
11313,632,"Trevor Jenkins","Graduate Degree","5-10 Miles"
11314,618,"Mya Flores","Graduate Degree","1-2 Miles"
11315,632,"Hailey Ward","Graduate Degree","1-2 Miles"
11316,51,"Luke Allen","Graduate Degree","5-10 Miles"
11317,548,"Victoria Russell","Partial College","5-10 Miles"
11318,614,"Jessica Wilson","Partial College","1-2 Miles"
11319,348,"Jade Bailey","Graduate Degree","1-2 Miles"
11320,325,"Morgan Hill","Graduate Degree","5-10 Miles"
11321,612,"Terrance Raman","Bachelors","5-10 Miles"
11322,611,"Sydney Garcia","Bachelors","5-10 Miles"
11323,314,"Jose Patterson","Graduate Degree","5-10 Miles"
11324,325,"Zachary Anderson","Bachelors","1-2 Miles"
11325,637,"Elijah Ross","Bachelors","5-10 Miles"
11326,300,"Rafael Xie","Bachelors","0-1 Miles"
11327,301,"Jaime Moreno","Bachelors","5-10 Miles"
11328,55,"Julian Griffin","Bachelors","5-10 Miles"
11329,311,"Andy Alvarez","Bachelors","5-10 Miles"
11330,59,"Ryan Thompson","Graduate Degree","2-5 Miles"
11331,63,"Samantha Jenkins","Partial College","1-2 Miles"
11332,153,"Deanna Ramos","Graduate Degree","0-1 Miles"
11333,261,"Emily Miller","Graduate Degree","0-1 Miles"
11334,269,"Nicole Brown","Bachelors","0-1 Miles"
11335,120,"Carla Raman","Bachelors","0-1 Miles"
11336,204,"Shaun Raji","Graduate Degree","0-1 Miles"
11337,273,"Jerome Romero","Bachelors","0-1 Miles"
11338,154,"Frank Navarro","Graduate Degree","0-1 Miles"
11339,202,"Dennis She","Graduate Degree","0-1 Miles"
11340,192,"Melody Munoz","Graduate Degree","0-1 Miles"
11341,236,"Randy Zeng","Graduate Degree","0-1 Miles"
11342,191,"Marshall Wang","Graduate Degree","0-1 Miles"
11343,264,"Arthur Carlson","Bachelors","0-1 Miles"
11344,262,"Jessie Jimenez","Partial College","0-1 Miles"
11345,224,"Robin Ramos","Partial College","0-1 Miles"
11346,196,"Deanna Gutierrez","Partial College","0-1 Miles"
11347,156,"Roy Navarro","Partial College","0-1 Miles"
11348,151,"Shawn Rai","Partial College","0-1 Miles"
11349,134,"Mindy Luo","Partial College","2-5 Miles"
11350,265,"Cara Zhou","Graduate Degree","0-1 Miles"
11351,253,"Anne Ramos","Bachelors","0-1 Miles"
11352,222,"Raymond Rodriguez","Partial College","0-1 Miles"
11353,271,"Carrie Ortega","Bachelors","0-1 Miles"
11354,119,"Deanna Suarez","Partial College","0-1 Miles"
11355,275,"Roberto Gutierrez","Graduate Degree","0-1 Miles"
11356,6,"Terrence Carson","Partial College","2-5 Miles"
11357,21,"Ramon Ye","Partial College","2-5 Miles"
11358,2,"Cynthia Malhotra","Partial College","0-1 Miles"
11359,7,"Jarrod Prasad","Partial College","0-1 Miles"
11360,26,"Tyrone Serrano","Partial College","2-5 Miles"
11361,10,"Cindy Ramos","High School","0-1 Miles"
11362,33,"Damien Shan","High School","0-1 Miles"
11363,35,"Julian Ross","High School","0-1 Miles"
11364,34,"Jennifer Collins","High School","2-5 Miles"
11365,29,"Brittney Sun","High School","1-2 Miles"
11366,37,"Virginia Patel","Bachelors","0-1 Miles"
11367,12,"Calvin Nara","Bachelors","0-1 Miles"
11368,26,"Edward Miller","High School","1-2 Miles"
11369,29,"Ashlee Tang","Bachelors","0-1 Miles"
11370,38,"Alicia Xu","Bachelors","0-1 Miles"
11371,26,"Lacey Jai","Bachelors","0-1 Miles"
11372,20,"Wendy Romero","Bachelors","0-1 Miles"
11373,135,"Carly Luo","Bachelors","0-1 Miles"
11374,162,"Jimmy Ortega","Bachelors","0-1 Miles"
11375,240,"Francisco Martinez","Bachelors","0-1 Miles"
11376,268,"Lance Vazquez","Graduate Degree","0-1 Miles"
11377,161,"David Robinett","Graduate Degree","0-1 Miles"
11378,184,"Shannon Liang","High School","2-5 Miles"
11379,214,"Gary Vazquez","High School","2-5 Miles"
11380,175,"Mitchell Kumar","Partial College","1-2 Miles"
11381,249,"Meredith Raman","Partial College","2-5 Miles"
11382,189,"Edward Patterson","Partial College","2-5 Miles"
11383,206,"Marie Gill","Graduate Degree","0-1 Miles"
11384,211,"Tiffany Wang","Bachelors","0-1 Miles"
11385,279,"Miguel Allen","Bachelors","0-1 Miles"
11386,127,"Jaclyn Cai","Bachelors","0-1 Miles"
11387,238,"Megan Ramirez","Graduate Degree","0-1 Miles"
11388,279,"Joseph Martin","Graduate Degree","0-1 Miles"
11389,130,"Karl Shan","High School","2-5 Miles"
11390,208,"Christine Raji","High School","2-5 Miles"
11391,135,"Lindsay Xie","High School","0-1 Miles"
11392,131,"Willie Zhao","High School","0-1 Miles"
11393,182,"Kurt Pal","High School","0-1 Miles"
11394,259,"George McDonald","High School","0-1 Miles"
11395,118,"Beth Gutierrez","Bachelors","0-1 Miles"
11396,175,"Ian Lopez","High School","0-1 Miles"
11397,197,"Latoya Shan","Partial College","0-1 Miles"
11398,261,"Colin Nath","Bachelors","0-1 Miles"
11399,202,"Brenda Mehta","Bachelors","0-1 Miles"
11400,251,"Franklin Raji","Graduate Degree","0-1 Miles"
11401,204,"Linda Navarro","Graduate Degree","0-1 Miles"
11402,183,"Kelli Cai","Graduate Degree","0-1 Miles"
11403,179,"Nancy Schmidt","Graduate Degree","0-1 Miles"
11404,133,"Megan Taylor","Partial College","0-1 Miles"
11405,143,"Bonnie Goel","Partial College","0-1 Miles"
11406,199,"Latoya Xu","Partial College","2-5 Miles"
11407,170,"Mario She","Partial College","0-1 Miles"
11408,257,"Darren Gill","High School","0-1 Miles"
11409,208,"Jacqueline Hayes","High School","0-1 Miles"
11410,201,"Maurice Goel","Partial College","2-5 Miles"
11411,121,"Devin Ross","Partial College","2-5 Miles"
11412,121,"Sydney Bryant","Partial College","10+ Miles"
11413,238,"Megan Stewart","Partial College","2-5 Miles"
11414,241,"Ian Richardson","Partial College","10+ Miles"
11415,127,"Randy She","Partial College","10+ Miles"
11416,185,"Katrina Becker","Partial High School","2-5 Miles"
11417,222,"Lacey Zheng","High School","10+ Miles"
11418,160,"Rafael Hu","Partial College","10+ Miles"
11419,273,"Kyle Scott","Graduate Degree","0-1 Miles"
11420,189,"Jordan Turner","Bachelors","10+ Miles"
11421,172,"Amy Sun","Bachelors","5-10 Miles"
11422,268,"Dustin Deng","Bachelors","5-10 Miles"
11423,147,"Jasmine Stewart","Partial College","2-5 Miles"
11424,164,"Pamela Garcia","Partial College","10+ Miles"
11425,184,"Ariana Gray","High School","10+ Miles"
11426,156,"Kristopher Mehta","Bachelors","10+ Miles"
11427,168,"Desiree Dominguez","Partial College","10+ Miles"
11428,173,"Deanna Perez","Bachelors","10+ Miles"
11429,218,"Marco Lopez","Partial College","10+ Miles"
11430,155,"Casey Yuan","High School","10+ Miles"
11431,120,"Bryant Garcia","Partial College","10+ Miles"
11432,206,"Dominique Prasad","High School","10+ Miles"
11433,224,"Maurice Shan","High School","2-5 Miles"
11434,274,"Andre Lopez","Partial College","0-1 Miles"
11435,168,"Robin Romero","Partial College","10+ Miles"
11436,273,"Taylor Cox","Partial College","10+ Miles"
11437,190,"Alfredo Moreno","High School","10+ Miles"
11438,162,"Jenny Nara","High School","0-1 Miles"
11439,217,"Janet Munoz","High School","5-10 Miles"
11440,187,"Sergio Weber","Partial High School","5-10 Miles"
11441,192,"Erika Gomez","Partial High School","5-10 Miles"
11442,224,"Joseph Harris","Partial High School","10+ Miles"
11443,31,"Grace Griffin","Bachelors","2-5 Miles"
11444,32,"Tina Mehta","Bachelors","10+ Miles"
11445,15,"Kari Kim","Bachelors","10+ Miles"
11446,5,"Bethany Chander","Bachelors","10+ Miles"
11447,25,"Jennifer Roberts","Bachelors","10+ Miles"
11448,35,"Kyle Patterson","Bachelors","10+ Miles"
11449,37,"Alvin Hu","Bachelors","10+ Miles"
11450,28,"Brett Mehta","High School","0-1 Miles"
11451,10,"Ruben Muñoz","Bachelors","10+ Miles"
11452,21,"Erika Rubio","Bachelors","10+ Miles"
11453,31,"Stanley Malhotra","Bachelors","10+ Miles"
11454,35,"Melinda Navarro","Bachelors","10+ Miles"
11455,36,"Ross Sanz","High School","10+ Miles"
11456,17,"Jon Gao","Partial High School","10+ Miles"
11457,19,"Jaime Gutierrez","Bachelors","10+ Miles"
11458,16,"Bianca Liu","High School","10+ Miles"
11459,13,"Tasha Deng","Bachelors","10+ Miles"
11460,33,"Melvin Chande","Bachelors","10+ Miles"
11461,6,"Victor Jimenez","Bachelors","10+ Miles"
11462,8,"Laura Lin","High School","10+ Miles"
11463,28,"Alisha Beck","High School","10+ Miles"
11464,38,"Alejandro Huang","Bachelors","10+ Miles"
11465,23,"Louis Luo","Bachelors","10+ Miles"
11466,6,"Grant Tang","Partial High School","10+ Miles"
11467,17,"Arturo Zheng","Graduate Degree","0-1 Miles"
11468,278,"Jaclyn Andersen","Bachelors","1-2 Miles"
11469,278,"Edwin Raji","Partial High School","1-2 Miles"
11470,177,"Jay Suarez","Partial High School","0-1 Miles"
11471,207,"Latasha Suarez","Partial College","2-5 Miles"
11472,24,"Kenneth Kumar","Bachelors","5-10 Miles"
11473,221,"Grace Henderson","Partial High School","1-2 Miles"
11474,265,"Melvin Xu","Partial High School","1-2 Miles"
11475,251,"Cesar Subram","High School","1-2 Miles"
11476,241,"Erika Navarro","Bachelors","1-2 Miles"
11477,127,"Tristan Hughes","High School","1-2 Miles"
11478,218,"Billy Hernandez","High School","2-5 Miles"
11479,182,"Darryl Wu","Bachelors","1-2 Miles"
11480,224,"Colleen Ma","Bachelors","1-2 Miles"
11481,156,"Erica Hu","Bachelors","1-2 Miles"
11482,272,"Adrienne Torres","High School","1-2 Miles"
11483,199,"Calvin Chande","Bachelors","0-1 Miles"
11484,171,"Erick Sai","Partial College","0-1 Miles"
11485,237,"Donald Chandra","Partial College","0-1 Miles"
11486,117,"Ariana Rogers","Partial High School","1-2 Miles"
11487,186,"Morgan Jones","Partial High School","1-2 Miles"
11488,256,"Jermaine Lopez","Partial High School","1-2 Miles"
