"customerkey","geographykey","customeralternatekey","fullname","gender","maritalstatus","emailaddress","yearlyincome","addressline1","phone","datefirstpurchase","commutedistance"
11026,4,"AW00011026","Harold NULL Sai","M","S","harold3@adventure-works.com","30000.00","8211 Leeds Ct.","1 (11) 500 555-0131","2020-01-23","1-2 Miles"
11027,40,"AW00011027","Jessie R Zhao","M","M","jessie16@adventure-works.com","30000.00","213 Valencia Place","1 (11) 500 555-0184","2020-01-16","5-10 Miles"
11028,17,"AW00011028","Jill NULL Jimenez","F","M","jill13@adventure-works.com","30000.00","9111 Rose Ann Ave","1 (11) 500 555-0116","2020-01-26","1-2 Miles"
11029,32,"AW00011029","Jimmy L Moreno","M","M","jimmy9@adventure-works.com","30000.00","6385 Mark Twain","1 (11) 500 555-0146","2020-01-19","1-2 Miles"
11030,28,"AW00011030","Bethany G Yuan","F","M","bethany10@adventure-works.com","10000.00","636 Vine Hill Way","1 (11) 500 555-0182","2020-02-05","1-2 Miles"
11031,8,"AW00011031","Theresa G Ramos","F","M","theresa13@adventure-works.com","20000.00","6465 Detroit Ave.","1 (11) 500 555-0195","2020-02-01","1-2 Miles"
11032,35,"AW00011032","Denise NULL Stone","F","M","denise10@adventure-works.com","20000.00","626 Bentley Street","1 (11) 500 555-0169","2020-02-18","1-2 Miles"
11033,9,"AW00011033","Jaime NULL Nath","M","M","jaime41@adventure-works.com","20000.00","5927 Rainbow Dr","1 (11) 500 555-0137","2020-02-15","5-10 Miles"
11034,12,"AW00011034","Ebony NULL Gonzalez","F","M","ebony19@adventure-works.com","20000.00","5167 Condor Place","1 (11) 500 555-0136","2020-02-01","5-10 Miles"
11035,33,"AW00011035","Wendy NULL Dominguez","F","M","wendy12@adventure-works.com","10000.00","1873 Mt. Whitney Dr","1 (11) 500 555-0177","2020-02-06","1-2 Miles"
11036,343,"AW00011036","Jennifer C Russell","F","M","jennifer93@adventure-works.com","60000.00","3981 Augustine Drive","115-555-0183","2022-01-22","1-2 Miles"
11037,49,"AW00011037","Chloe M Garcia","F","S","chloe27@adventure-works.com","40000.00","8915 Woodside Way","229-555-0112","2022-01-20","5-10 Miles"
11038,6,"AW00011038","Diana F Hernandez","F","M","diana2@adventure-works.com","10000.00","8357 Sandy Cove Lane","1 (11) 500 555-0114","2020-02-07","5-10 Miles"
11039,19,"AW00011039","Marc J Martin","M","M","marc3@adventure-works.com","30000.00","9353 Creekside Dr.","1 (11) 500 555-0183","2020-02-07","5-10 Miles"
11040,642,"AW00011040","Jesse NULL Murphy","M","M","jesse15@adventure-works.com","30000.00","3350 Kingswood Circle","961-555-0176","2022-04-03","1-2 Miles"
11041,325,"AW00011041","Amanda M Carter","F","M","amanda53@adventure-works.com","60000.00","5826 Escobar","295-555-0145","2022-01-14","1-2 Miles"
11042,338,"AW00011042","Megan J Sanchez","F","M","megan28@adventure-works.com","70000.00","1397 Paraiso Ct.","404-555-0199","2022-01-21","0-1 Miles"
11043,325,"AW00011043","Nathan M Simmons","M","M","nathan11@adventure-works.com","60000.00","1170 Shaw Rd","296-555-0181","2022-05-08","5-10 Miles"
11044,25,"AW00011044","Adam L Flores","M","M","adam10@adventure-works.com","20000.00","6935 Candle Dr","1 (11) 500 555-0163","2020-02-28","1-2 Miles"
11045,8,"AW00011045","Leonard G Nara","M","S","leonard18@adventure-works.com","30000.00","7466 La Vista Ave.","1 (11) 500 555-0151","2022-04-10","1-2 Miles"
11046,6,"AW00011046","Christine NULL Yuan","F","M","christine4@adventure-works.com","30000.00","2356 Orange St","1 (11) 500 555-0113","2020-02-06","5-10 Miles"
11047,34,"AW00011047","Jaclyn D Lu","F","M","jaclyn12@adventure-works.com","30000.00","2812 Mazatlan","1 (11) 500 555-0137","2020-02-03","1-2 Miles"
11048,39,"AW00011048","Jeremy NULL Powell","M","M","jeremy26@adventure-works.com","30000.00","1803 Potomac Dr.","1 (11) 500 555-0183","2020-02-10","5-10 Miles"
11049,307,"AW00011049","Carol C Rai","F","S","carol8@adventure-works.com","40000.00","6064 Madrid","654-555-0180","2022-03-09","5-10 Miles"
11050,31,"AW00011050","Alan NULL Zheng","M","M","alan23@adventure-works.com","30000.00","2741 Gainborough Dr.","1 (11) 500 555-0135","2020-02-20","5-10 Miles"
11051,21,"AW00011051","Daniel NULL Johnson","M","S","daniel18@adventure-works.com","30000.00","8085 Sunnyvale Avenue","1 (11) 500 555-0155","2022-12-29","1-2 Miles"
11052,8,"AW00011052","Heidi NULL Lopez","F","S","heidi19@adventure-works.com","40000.00","2514 Via Cordona","1 (11) 500 555-0168","2020-02-17","5-10 Miles"
11053,359,"AW00011053","Ana E Price","F","M","ana0@adventure-works.com","60000.00","1660 Stonyhill Circle","859-555-0113","2022-01-17","1-2 Miles"
11054,34,"AW00011054","Deanna NULL Munoz","F","M","deanna33@adventure-works.com","40000.00","5825 B Way","1 (11) 500 555-0192","2020-02-03","5-10 Miles"
11055,22,"AW00011055","Gilbert NULL Raje","M","M","gilbert35@adventure-works.com","40000.00","8811 The Trees Dr.","1 (11) 500 555-0129","2020-01-31","5-10 Miles"
11056,10,"AW00011056","Michele L Nath","F","M","michele19@adventure-works.com","40000.00","5464 Janin Pl.","1 (11) 500 555-0178","2020-02-26","5-10 Miles"
11057,5,"AW00011057","Carl J Andersen","M","M","carl12@adventure-works.com","70000.00","6930 Lake Nadine Place","1 (11) 500 555-0181","2020-02-22","1-2 Miles"
11058,29,"AW00011058","Marc NULL Diaz","M","M","marc6@adventure-works.com","80000.00","6645 Sinaloa","1 (11) 500 555-0149","2020-03-09","1-2 Miles"
11059,27,"AW00011059","Ashlee J Andersen","F","S","ashlee19@adventure-works.com","80000.00","8255 Highland Road","1 (11) 500 555-0112","2022-02-18","5-10 Miles"
11060,40,"AW00011060","Jon L Zhou","M","M","jon28@adventure-works.com","80000.00","6574 Hemlock Ave.","1 (11) 500 555-0174","2020-03-19","5-10 Miles"
11061,23,"AW00011061","Todd M Gao","M","M","todd14@adventure-works.com","80000.00","8808 Geneva Ave","1 (11) 500 555-0191","2020-03-13","5-10 Miles"
11062,547,"AW00011062","Noah D Powell","M","M","noah5@adventure-works.com","40000.00","9794 Marion Ct","767-555-0113","2022-01-07","5-10 Miles"
11063,634,"AW00011063","Angela NULL Murphy","F","S","angela41@adventure-works.com","40000.00","4927 Virgil Street","451-555-0162","2022-01-12","5-10 Miles"
11064,315,"AW00011064","Chase NULL Reed","M","M","chase21@adventure-works.com","40000.00","2721 Alexander Pl.","892-555-0184","2022-01-25","5-10 Miles"
11065,331,"AW00011065","Jessica NULL Henderson","F","M","jessica29@adventure-works.com","60000.00","9343 Ironwood Way","278-555-0186","2022-02-10","1-2 Miles"
11066,543,"AW00011066","Grace T Butler","F","M","grace62@adventure-works.com","70000.00","4739 Garden Ave.","712-555-0141","2022-05-31","5-10 Miles"
11067,632,"AW00011067","Caleb F Carter","M","S","caleb40@adventure-works.com","60000.00","9563 Pennsylvania Blvd.","944-555-0167","2022-08-18","5-10 Miles"
11068,40,"AW00011068","Tiffany NULL Liang","F","S","tiffany17@adventure-works.com","80000.00","3608 Sinclair Avenue","1 (11) 500 555-0177","2022-04-30","5-10 Miles"
11069,23,"AW00011069","Carolyn NULL Navarro","F","S","carolyn30@adventure-works.com","80000.00","4606 Springwood Court","1 (11) 500 555-0145","2020-04-17","1-2 Miles"
11070,39,"AW00011070","Willie T Raji","M","M","willie40@adventure-works.com","80000.00","6260 Vernal Drive","1 (11) 500 555-0151","2020-04-28","5-10 Miles"
11071,24,"AW00011071","Linda NULL Serrano","F","S","linda31@adventure-works.com","80000.00","9808 Shaw Rd.","1 (11) 500 555-0130","2022-03-01","5-10 Miles"
11072,17,"AW00011072","Casey NULL Luo","F","S","casey6@adventure-works.com","80000.00","9513 Roslyn Drive","1 (11) 500 555-0125","2020-03-31","1-2 Miles"
11073,16,"AW00011073","Amy NULL Ye","F","S","amy16@adventure-works.com","70000.00","2262 Kirkwood Ct.","1 (11) 500 555-0185","2022-03-23","5-10 Miles"
11074,28,"AW00011074","Levi A Arun","M","S","levi6@adventure-works.com","70000.00","4661 Bluetail","1 (11) 500 555-0127","2022-03-23","5-10 Miles"
11075,32,"AW00011075","Felicia L Jimenez","F","S","felicia4@adventure-works.com","80000.00","786 Eastgate Ave","1 (11) 500 555-0165","2020-04-28","5-10 Miles"
11076,19,"AW00011076","Blake NULL Anderson","M","S","blake9@adventure-works.com","80000.00","5436 Clear","1 (11) 500 555-0113","2020-04-21","5-10 Miles"
11077,36,"AW00011077","Leah NULL Ye","F","S","leah7@adventure-works.com","80000.00","1291 Arguello Blvd.","1 (11) 500 555-0154","2020-04-15","1-2 Miles"
11078,49,"AW00011078","Gina E Martin","F","S","gina1@adventure-works.com","40000.00","1349 Sol St.","196-555-0114","2022-02-15","1-2 Miles"
11079,34,"AW00011079","Donald NULL Gonzalez","M","S","donald20@adventure-works.com","160000.00","4236 Malibu Place","1 (11) 500 555-0137","2022-03-15","0-1 Miles"
11080,30,"AW00011080","Damien NULL Chander","M","M","damien32@adventure-works.com","170000.00","9941 Stonehedge Dr.","1 (11) 500 555-0111","2020-04-10","0-1 Miles"
11081,311,"AW00011081","Savannah C Baker","F","M","savannah39@adventure-works.com","120000.00","1210 Trafalgar Circle","478-555-0117","2022-02-12","2-5 Miles"
11082,322,"AW00011082","Angela L Butler","F","S","angela17@adventure-works.com","130000.00","6040 Listing Ct","579-555-0195","2022-01-22","1-2 Miles"
11083,336,"AW00011083","Alyssa F Cox","F","M","alyssa37@adventure-works.com","130000.00","867 La Orinda Place","561-555-0140","2022-01-06","1-2 Miles"
11084,543,"AW00011084","Lucas NULL Phillips","M","S","lucas7@adventure-works.com","80000.00","8668 St. Celestine Court","863-555-0172","2022-01-04","1-2 Miles"
11085,345,"AW00011085","Emily NULL Johnson","F","S","emily1@adventure-works.com","60000.00","7926 Stephanie Way","850-555-0184","2022-12-06","5-10 Miles"
11086,369,"AW00011086","Ryan NULL Brown","M","M","ryan43@adventure-works.com","70000.00","2939 Wesley Ct.","539-555-0198","2022-07-02","0-1 Miles"
11087,307,"AW00011087","Tamara L Liang","F","M","tamara6@adventure-works.com","70000.00","3791 Rossmor Parkway","178-555-0152","2022-02-25","0-1 Miles"
11088,359,"AW00011088","Hunter NULL Davis","M","M","hunter64@adventure-works.com","80000.00","4308 Sand Pointe Lane","612-555-0141","2022-01-13","2-5 Miles"
11089,337,"AW00011089","Abigail M Price","F","S","abigail25@adventure-works.com","80000.00","2685 Blackburn Ct","532-555-0117","2021-12-29","2-5 Miles"
11090,338,"AW00011090","Trevor NULL Bryant","M","S","trevor18@adventure-works.com","90000.00","5781 Sharon Dr.","853-555-0174","2020-08-07","2-5 Miles"
11091,50,"AW00011091","Dalton NULL Perez","M","M","dalton37@adventure-works.com","90000.00","6083 San Jose","559-555-0115","2022-01-29","5-10 Miles"
11092,22,"AW00011092","Cheryl A Diaz","F","M","cheryl4@adventure-works.com","90000.00","7297 Kaywood Drive","1 (11) 500 555-0192","2020-04-08","1-2 Miles"
11093,19,"AW00011093","Aimee A He","F","M","aimee13@adventure-works.com","100000.00","1833 Olympic Drive","1 (11) 500 555-0161","2020-04-07","0-1 Miles"
11094,33,"AW00011094","Cedric W Ma","M","S","cedric15@adventure-works.com","70000.00","3407 Oak Brook Place","1 (11) 500 555-0115","2022-04-07","0-1 Miles"
11095,13,"AW00011095","Chad NULL Kumar","M","S","chad9@adventure-works.com","70000.00","1681 Lighthouse Way","1 (11) 500 555-0151","2020-04-01","5-10 Miles"
11096,12,"AW00011096","Andrés NULL Anand","M","M","andrés18@adventure-works.com","60000.00","5423 Los Gatos Ct.","1 (11) 500 555-0184","2020-04-11","5-10 Miles"
11097,40,"AW00011097","Edwin R Nara","M","M","edwin39@adventure-works.com","60000.00","719 William Way","1 (11) 500 555-0112","2020-04-04","5-10 Miles"
11098,14,"AW00011098","Mallory S Rubio","F","S","mallory7@adventure-works.com","60000.00","6452 Harris Circle","1 (11) 500 555-0157","2022-02-11","0-1 Miles"
11099,13,"AW00011099","Adam NULL Ross","M","M","adam2@adventure-works.com","60000.00","4378 Westminster Place","1 (11) 500 555-0186","2020-04-07","0-1 Miles"
11100,28,"AW00011100","Latasha L Navarro","F","S","latasha10@adventure-works.com","60000.00","6954 Ranch Road","1 (11) 500 555-0123","2020-04-16","5-10 Miles"
11101,33,"AW00011101","Abby L Sai","F","S","abby4@adventure-works.com","70000.00","7074 N. Spoonwood Court","1 (11) 500 555-0174","2020-04-29","0-1 Miles"
11102,18,"AW00011102","Julia L Nelson","F","S","julia7@adventure-works.com","80000.00","2196 Coat Ct.","1 (11) 500 555-0124","2022-07-16","1-2 Miles"
11103,3,"AW00011103","Cassie NULL Chande","F","S","cassie13@adventure-works.com","70000.00","9448 San Marino Ct.","1 (11) 500 555-0166","2020-04-15","5-10 Miles"
11104,23,"AW00011104","Edgar A Sara","M","M","edgar11@adventure-works.com","70000.00","6127 Lilly Lane","1 (11) 500 555-0125","2020-05-04","0-1 Miles"
11105,8,"AW00011105","Candace NULL Fernandez","F","S","candace15@adventure-works.com","70000.00","5029 Blue Ridge","1 (11) 500 555-0162","2020-05-14","5-10 Miles"
11106,40,"AW00011106","Jessie NULL Liu","M","S","jessie9@adventure-works.com","70000.00","3063 Blue Jay Drive","1 (11) 500 555-0163","2020-05-18","5-10 Miles"
11107,17,"AW00011107","Bianca NULL Lin","F","M","bianca7@adventure-works.com","90000.00","7530 Eola","1 (11) 500 555-0121","2020-05-01","5-10 Miles"
11108,13,"AW00011108","Kari C Alvarez","F","S","kari25@adventure-works.com","70000.00","9178 Thornhill Place","1 (11) 500 555-0169","2020-05-03","0-1 Miles"
11109,38,"AW00011109","Ruben D Kapoor","M","S","ruben1@adventure-works.com","70000.00","1984 Glendale Circle","1 (11) 500 555-0132","2020-05-10","0-1 Miles"
11110,3,"AW00011110","Curtis NULL Yang","M","M","curtis5@adventure-works.com","60000.00","4052 Mt. Wilson Way","1 (11) 500 555-0127","2020-05-01","5-10 Miles"
11111,34,"AW00011111","Meredith T Gutierrez","F","M","meredith34@adventure-works.com","60000.00","7610 Northridge Ct.","1 (11) 500 555-0179","2020-05-20","0-1 Miles"
11112,25,"AW00011112","Crystal C Wang","F","M","crystal3@adventure-works.com","60000.00","2773 Kirkwood Dr","1 (11) 500 555-0134","2020-05-25","0-1 Miles"
11113,30,"AW00011113","Micheal A Blanco","M","M","micheal11@adventure-works.com","70000.00","596 Marfargoa Drive","1 (11) 500 555-0131","2022-02-01","5-10 Miles"
11114,14,"AW00011114","Leslie C Moreno","F","S","leslie7@adventure-works.com","70000.00","7941 Cristobal","1 (11) 500 555-0115","2022-03-18","5-10 Miles"
11115,17,"AW00011115","Alvin D Cai","M","M","alvin20@adventure-works.com","70000.00","7759 Azalea Avenue","1 (11) 500 555-0191","2022-02-10","0-1 Miles"
11116,18,"AW00011116","Clinton E Carlson","M","M","clinton14@adventure-works.com","70000.00","7943 Cunha Ct.","1 (11) 500 555-0184","2022-03-15","5-10 Miles"
11117,8,"AW00011117","April NULL Deng","F","M","april1@adventure-works.com","70000.00","485 Ash Lane","1 (11) 500 555-0182","2020-05-06","10+ Miles"
11118,6,"AW00011118","Alvin M Zeng","M","S","alvin21@adventure-works.com","80000.00","3853 Wildcat Circle","1 (11) 500 555-0174","2022-07-10","0-1 Miles"
11119,13,"AW00011119","Evan V James","M","S","evan8@adventure-works.com","30000.00","4157 Sierra Ridge","1 (11) 500 555-0187","2022-02-03","0-1 Miles"
11120,18,"AW00011120","Beth H Jiménez","F","S","beth8@adventure-works.com","40000.00","7401 Las Palmas","1 (11) 500 555-0164","2020-05-14","5-10 Miles"
11121,10,"AW00011121","Orlando NULL Suarez","M","M","orlando19@adventure-works.com","70000.00","7743 Hames Dr","1 (11) 500 555-0198","2022-06-24","10+ Miles"
11122,12,"AW00011122","Byron NULL Vazquez","M","M","byron9@adventure-works.com","70000.00","3187 Hackamore Lane","1 (11) 500 555-0136","2022-02-21","5-10 Miles"
11123,39,"AW00011123","Philip A Alvarez","M","M","philip4@adventure-works.com","70000.00","2775 Mt. Olivet Pl.","1 (11) 500 555-0191","2022-04-17","10+ Miles"
11124,40,"AW00011124","Ross F Jordan","M","S","ross1@adventure-works.com","80000.00","6973 Dublin Court","1 (11) 500 555-0126","2020-05-05","5-10 Miles"
11125,37,"AW00011125","Dana J Navarro","F","S","dana2@adventure-works.com","70000.00","8481 Zartop Street","1 (11) 500 555-0172","2022-01-31","5-10 Miles"
11126,11,"AW00011126","Shaun NULL Carson","M","M","shaun16@adventure-works.com","10000.00","57 Wolf Way","1 (11) 500 555-0155","2020-05-28","0-1 Miles"
11127,361,"AW00011127","Jan NULL Edwards","F","M","jan11@adventure-works.com","40000.00","9409 The Alameda","111-555-0118","2022-04-10","5-10 Miles"
11128,635,"AW00011128","Samantha NULL Long","F","M","samantha35@adventure-works.com","40000.00","1606 Alderwood Lane","175-555-0139","2022-06-19","5-10 Miles"
11129,638,"AW00011129","Julia M Wright","F","S","julia17@adventure-works.com","40000.00","7397 Central Blvd.","456-555-0174","2020-08-06","5-10 Miles"
11130,543,"AW00011130","Caroline L Russell","F","M","caroline21@adventure-works.com","30000.00","3884 Bates Court","424-555-0137","2022-12-09","5-10 Miles"
11131,50,"AW00011131","Amanda NULL Rivera","F","M","amanda7@adventure-works.com","30000.00","9573 Royal Oak Rd.","918-555-0126","2022-10-18","0-1 Miles"
11132,51,"AW00011132","Melissa E Richardson","F","S","melissa31@adventure-works.com","30000.00","6832 Fruitwood Dr","928-555-0118","2022-04-09","5-10 Miles"
11133,542,"AW00011133","Angela NULL Griffin","F","S","angela23@adventure-works.com","30000.00","3828 Baltic Sea Ct","598-555-0174","2022-12-30","0-1 Miles"
11134,30,"AW00011134","Larry D Townsend","M","S","larry14@adventure-works.com","10000.00","7034 Carson","1 (11) 500 555-0130","2020-05-03","5-10 Miles"
11135,302,"AW00011135","Marcus L Harris","M","S","marcus14@adventure-works.com","30000.00","9068 Quiet Place Drive","442-555-0119","2022-04-18","5-10 Miles"
11136,53,"AW00011136","Brianna D Morgan","F","S","brianna30@adventure-works.com","40000.00","9005 Eagle Ct.","954-555-0117","2022-01-03","0-1 Miles"
11137,641,"AW00011137","Jasmine A Taylor","F","M","jasmine7@adventure-works.com","40000.00","2457 Matterhorn Court","557-555-0146","2022-07-31","5-10 Miles"
11138,325,"AW00011138","Lauren NULL Davis","F","M","lauren23@adventure-works.com","40000.00","8105 Pembrook Court","832-555-0121","2022-09-19","0-1 Miles"
11139,28,"AW00011139","Tanya NULL Moreno","F","S","tanya2@adventure-works.com","30000.00","6155 Wilbur Drive","1 (11) 500 555-0185","2022-09-14","5-10 Miles"
11140,301,"AW00011140","Javier L Alvarez","M","S","javier1@adventure-works.com","30000.00","8935 Etcheverry Dr.","763-555-0134","2022-03-19","5-10 Miles"
11141,314,"AW00011141","Nicole NULL Ramirez","F","M","nicole42@adventure-works.com","40000.00","1101 C Street","152-555-0162","2022-05-16","0-1 Miles"
11142,51,"AW00011142","Eduardo NULL Patterson","M","S","eduardo55@adventure-works.com","40000.00","6255 Macalvey Dr.","190-555-0184","2022-02-13","0-1 Miles"
11143,334,"AW00011143","Jonathan M Henderson","M","M","jonathan4@adventure-works.com","40000.00","165 East Lane Road","149-555-0113","2022-06-15","5-10 Miles"
11144,607,"AW00011144","Edward NULL Hernandez","M","S","edward48@adventure-works.com","40000.00","7607 Pine Hollow Road","178-555-0196","2022-01-25","0-1 Miles"
11145,536,"AW00011145","Jasmine L Coleman","F","S","jasmine46@adventure-works.com","40000.00","1961 Oak Grove Road","857-555-0115","2022-01-25","0-1 Miles"
11146,8,"AW00011146","Karla L Goel","F","S","karla20@adventure-works.com","40000.00","3272 Corrie Lane","1 (11) 500 555-0137","2022-02-05","5-10 Miles"
11147,40,"AW00011147","Ernest L Wu","M","M","ernest6@adventure-works.com","60000.00","1832 RiverRock Dr","1 (11) 500 555-0139","2020-05-13","0-1 Miles"
11148,22,"AW00011148","Ross NULL Vazquez","M","M","ross32@adventure-works.com","40000.00","1201 Paso Del Rio Way","1 (11) 500 555-0163","2022-03-07","5-10 Miles"
11149,25,"AW00011149","Theodore NULL Gill","M","M","theodore14@adventure-works.com","40000.00","9120 Pinewood Court","1 (11) 500 555-0194","2022-06-04","0-1 Miles"
11150,39,"AW00011150","Russell M Shen","M","S","russell6@adventure-works.com","40000.00","4755 Easley Drive","1 (11) 500 555-0191","2022-03-27","5-10 Miles"
11151,18,"AW00011151","Melinda G Gill","F","S","melinda9@adventure-works.com","60000.00","805 Rainier Dr.","1 (11) 500 555-0117","2020-05-15","0-1 Miles"
11152,633,"AW00011152","James J Williams","M","S","james77@adventure-works.com","40000.00","6827 Seagull Court","355-555-0153","2022-01-09","5-10 Miles"
11153,635,"AW00011153","Angela R James","F","M","angela34@adventure-works.com","40000.00","8877 Weatherly Drive","847-555-0111","2022-03-29","5-10 Miles"
11154,553,"AW00011154","Megan G Walker","F","S","megan25@adventure-works.com","40000.00","6898 Holiday Hills","918-555-0186","2022-01-10","5-10 Miles"
11155,301,"AW00011155","Hunter J Robinson","M","S","hunter50@adventure-works.com","40000.00","8356 Mori Court","891-555-0125","2022-01-06","1-2 Miles"
11156,334,"AW00011156","Maria NULL Roberts","F","S","maria47@adventure-works.com","40000.00","9452 Mariposa Ct.","158-555-0199","2022-01-08","1-2 Miles"
11157,642,"AW00011157","Hannah E Long","F","M","hannah32@adventure-works.com","40000.00","1832 Preston Ct.","974-555-0177","2022-07-24","5-10 Miles"
11158,361,"AW00011158","Jason K Wright","M","S","jason46@adventure-works.com","40000.00","6771 Bundros Court","694-555-0176","2022-01-19","5-10 Miles"
11159,385,"AW00011159","Brianna A Hughes","F","S","brianna57@adventure-works.com","40000.00","6793 Bonifacio St.","319-555-0183","2022-09-08","1-2 Miles"
11160,311,"AW00011160","Maurice M Tang","M","S","maurice4@adventure-works.com","40000.00","2886 Chaparral Court","947-555-0172","2022-02-21","5-10 Miles"
11161,311,"AW00011161","Emily NULL Wood","F","S","emily27@adventure-works.com","40000.00","1562 Black Walnut","184-555-0114","2022-06-01","1-2 Miles"
11162,331,"AW00011162","Chase NULL Cox","M","S","chase10@adventure-works.com","40000.00","P.O. Box 8070","764-555-0116","2022-02-18","5-10 Miles"
11163,372,"AW00011163","Gabriel NULL Wang","M","M","gabriel21@adventure-works.com","40000.00","8002 Crane Court","617-555-0150","2022-05-01","5-10 Miles"
11164,374,"AW00011164","Devin NULL Brooks","M","S","devin63@adventure-works.com","40000.00","4231 Highland Dr.","502-555-0138","2022-04-27","1-2 Miles"
11165,348,"AW00011165","Jocelyn NULL Alexander","F","M","jocelyn18@adventure-works.com","60000.00","3376 Bank Way","354-555-0134","2022-05-25","1-2 Miles"
11166,631,"AW00011166","Ashley NULL Martinez","F","S","ashley18@adventure-works.com","70000.00","6993 Whyte Park Ave.","131-555-0194","2022-10-14","0-1 Miles"
11167,618,"AW00011167","Jasmine J Barnes","F","S","jasmine43@adventure-works.com","80000.00","9183 Via Del Sol","178-555-0156","2022-01-07","0-1 Miles"
11168,348,"AW00011168","David NULL Rodriguez","M","S","david83@adventure-works.com","80000.00","38 Shangri-la Rd.","730-555-0128","2022-01-15","0-1 Miles"
11169,312,"AW00011169","Bryce NULL Richardson","M","M","bryce8@adventure-works.com","90000.00","1841 Blackwood Drive","178-555-0176","2022-05-26","0-1 Miles"
