"customerkey","geographykey","customername","englisheducation","commutedistance","geography_key","city","stateprovincename","countryname"
11103,3,"Cassie Chande","Bachelors","5-10 Miles",3,"Darlinghurst","New South Wales","Australia"
11104,23,"Edgar Sara","Bachelors","0-1 Miles",23,"Gold Coast","Queensland","Australia"
11105,8,"Candace Fernandez","Bachelors","5-10 Miles",8,"Matraville","New South Wales","Australia"
11106,40,"Jessie Liu","Bachelors","5-10 Miles",40,"Warrnambool","Victoria","Australia"
11107,17,"Bianca Lin","Bachelors","5-10 Miles",17,"St. Leonards","New South Wales","Australia"
11108,13,"Kari Alvarez","Bachelors","0-1 Miles",13,"Port Macquarie","New South Wales","Australia"
11109,38,"Ruben Kapoor","Bachelors","0-1 Miles",38,"South Melbourne","Victoria","Australia"
11110,3,"Curtis Yang","Partial College","5-10 Miles",3,"Darlinghurst","New South Wales","Australia"
11111,34,"Meredith Gutierrez","Partial College","0-1 Miles",34,"Geelong","Victoria","Australia"
11112,25,"Crystal Wang","Partial College","0-1 Miles",25,"Hervey Bay","Queensland","Australia"
11113,30,"Micheal Blanco","Bachelors","5-10 Miles",30,"Perth","South Australia","Australia"
11114,14,"Leslie Moreno","Partial College","5-10 Miles",14,"Rhodes","New South Wales","Australia"
11115,17,"Alvin Cai","Partial College","0-1 Miles",17,"St. Leonards","New South Wales","Australia"
11116,18,"Clinton Carlson","Partial College","5-10 Miles",18,"Sydney","New South Wales","Australia"
11117,8,"April Deng","Partial College","10+ Miles",8,"Matraville","New South Wales","Australia"
11118,6,"Alvin Zeng","Partial College","0-1 Miles",6,"Lavender Bay","New South Wales","Australia"
11119,13,"Evan James","Partial College","0-1 Miles",13,"Port Macquarie","New South Wales","Australia"
11120,18,"Beth Jiménez","Bachelors","5-10 Miles",18,"Sydney","New South Wales","Australia"
11121,10,"Orlando Suarez","Partial College","10+ Miles",10,"Newcastle","New South Wales","Australia"
11122,12,"Byron Vazquez","Partial College","5-10 Miles",12,"North Sydney","New South Wales","Australia"
11123,39,"Philip Alvarez","Partial College","10+ Miles",39,"Sunbury","Victoria","Australia"
11124,40,"Ross Jordan","Partial College","5-10 Miles",40,"Warrnambool","Victoria","Australia"
11125,37,"Dana Navarro","Partial College","5-10 Miles",37,"Seaford","Victoria","Australia"
11126,11,"Shaun Carson","High School","0-1 Miles",11,"North Ryde","New South Wales","Australia"
11127,361,"Jan Edwards","High School","5-10 Miles",361,"San Gabriel","California","United States"
11128,635,"Samantha Long","High School","5-10 Miles",635,"Renton","Washington","United States"
11129,638,"Julia Wright","High School","5-10 Miles",638,"Sedro Woolley","Washington","United States"
11130,543,"Caroline Russell","High School","5-10 Miles",543,"Lebanon","Oregon","United States"
11131,50,"Amanda Rivera","High School","0-1 Miles",50,"Haney","British Columbia","Canada"
11132,51,"Melissa Richardson","High School","5-10 Miles",51,"Langford","British Columbia","Canada"
11133,542,"Angela Griffin","Partial High School","0-1 Miles",542,"Lake Oswego","Oregon","United States"
11134,30,"Larry Townsend","High School","5-10 Miles",30,"Perth","South Australia","Australia"
11135,302,"Marcus Harris","Partial High School","5-10 Miles",302,"Burlingame","California","United States"
11136,53,"Brianna Morgan","High School","0-1 Miles",53,"Metchosin","British Columbia","Canada"
11137,641,"Jasmine Taylor","High School","5-10 Miles",641,"Spokane","Washington","United States"
11138,325,"Lauren Davis","High School","0-1 Miles",325,"Glendale","California","United States"
11139,28,"Tanya Moreno","Partial College","5-10 Miles",28,"Cloverdale","South Australia","Australia"
11140,301,"Javier Alvarez","Partial High School","5-10 Miles",301,"Burbank","California","United States"
11141,314,"Nicole Ramirez","High School","0-1 Miles",314,"Daly City","California","United States"
11142,51,"Eduardo Patterson","High School","0-1 Miles",51,"Langford","British Columbia","Canada"
11143,334,"Jonathan Henderson","High School","5-10 Miles",334,"Lakewood","California","United States"
11144,607,"Edward Hernandez","High School","0-1 Miles",607,"Ballard","Washington","United States"
11145,536,"Jasmine Coleman","High School","0-1 Miles",536,"Beaverton","Oregon","United States"
11146,8,"Karla Goel","Bachelors","5-10 Miles",8,"Matraville","New South Wales","Australia"
11147,40,"Ernest Wu","Graduate Degree","0-1 Miles",40,"Warrnambool","Victoria","Australia"
11148,22,"Ross Vazquez","Bachelors","5-10 Miles",22,"East Brisbane","Queensland","Australia"
11149,25,"Theodore Gill","Bachelors","0-1 Miles",25,"Hervey Bay","Queensland","Australia"
11150,39,"Russell Shen","Bachelors","5-10 Miles",39,"Sunbury","Victoria","Australia"
11151,18,"Melinda Gill","Graduate Degree","0-1 Miles",18,"Sydney","New South Wales","Australia"
11152,633,"James Williams","High School","5-10 Miles",633,"Puyallup","Washington","United States"
11153,635,"Angela James","High School","5-10 Miles",635,"Renton","Washington","United States"
11154,553,"Megan Walker","Partial College","5-10 Miles",553,"Woodburn","Oregon","United States"
11155,301,"Hunter Robinson","Partial College","1-2 Miles",301,"Burbank","California","United States"
11156,334,"Maria Roberts","Partial College","1-2 Miles",334,"Lakewood","California","United States"
11157,642,"Hannah Long","High School","5-10 Miles",642,"Tacoma","Washington","United States"
11158,361,"Jason Wright","High School","5-10 Miles",361,"San Gabriel","California","United States"
11159,385,"Brianna Hughes","High School","1-2 Miles",385,"Woodland Hills","California","United States"
11160,311,"Maurice Tang","Partial College","5-10 Miles",311,"Concord","California","United States"
11161,311,"Emily Wood","Partial College","1-2 Miles",311,"Concord","California","United States"
11162,331,"Chase Cox","Partial College","5-10 Miles",331,"La Jolla","California","United States"
11163,372,"Gabriel Wang","Partial College","5-10 Miles",372,"Spring Valley","California","United States"
11164,374,"Devin Brooks","Partial College","1-2 Miles",374,"Torrance","California","United States"
11165,348,"Jocelyn Alexander","Partial College","1-2 Miles",348,"Oakland","California","United States"
11166,631,"Ashley Martinez","Partial College","0-1 Miles",631,"Olympia","Washington","United States"
11167,618,"Jasmine Barnes","Bachelors","0-1 Miles",618,"Issaquah","Washington","United States"
11168,348,"David Rodriguez","Bachelors","0-1 Miles",348,"Oakland","California","United States"
11169,312,"Bryce Richardson","Bachelors","0-1 Miles",312,"Coronado","California","United States"
11170,612,"Carol Howard","Bachelors","0-1 Miles",612,"Burien","Washington","United States"
11171,385,"Jonathan Hill","Bachelors","1-2 Miles",385,"Woodland Hills","California","United States"
11172,626,"Gabrielle Adams","Bachelors","1-2 Miles",626,"Lynnwood","Washington","United States"
11173,552,"Sarah Thomas","Graduate Degree","0-1 Miles",552,"W. Linn","Oregon","United States"
11174,338,"Nicholas Robinson","Graduate Degree","2-5 Miles",338,"Los Angeles","California","United States"
11175,300,"Luis Wang","Partial College","5-10 Miles",300,"Beverly Hills","California","United States"
11176,50,"Mason Roberts","Bachelors","1-2 Miles",50,"Haney","British Columbia","Canada"
11177,359,"Jose Flores","Graduate Degree","5-10 Miles",359,"San Diego","California","United States"
11178,334,"Nathan Johnson","Graduate Degree","1-2 Miles",334,"Lakewood","California","United States"
11179,300,"Molly Rodriguez","Graduate Degree","5-10 Miles",300,"Beverly Hills","California","United States"
11180,307,"April Anand","Bachelors","0-1 Miles",307,"Chula Vista","California","United States"
11181,338,"Devin Martin","Graduate Degree","0-1 Miles",338,"Los Angeles","California","United States"
11182,638,"Stephanie Torres","Bachelors","10+ Miles",638,"Sedro Woolley","Washington","United States"
11183,368,"Jasmine Lee","Bachelors","10+ Miles",368,"Santa Cruz","California","United States"
11184,311,"Meghan Hernandez","Bachelors","10+ Miles",311,"Concord","California","United States"
11185,53,"Ashley Henderson","Bachelors","10+ Miles",53,"Metchosin","British Columbia","Canada"
11186,352,"Sarah Price","Bachelors","10+ Miles",352,"Palo Alto","California","United States"
11187,612,"Jennifer Cooper","Graduate Degree","10+ Miles",612,"Burien","Washington","United States"
11188,361,"Catherine Morris","Graduate Degree","1-2 Miles",361,"San Gabriel","California","United States"
11189,609,"Lawrence Blanco","Graduate Degree","10+ Miles",609,"Bellingham","Washington","United States"
11190,300,"Carson Bryant","Bachelors","10+ Miles",300,"Beverly Hills","California","United States"
11191,310,"Kristi Perez","Bachelors","10+ Miles",310,"Colma","California","United States"
11192,637,"James Brown","Bachelors","2-5 Miles",637,"Seattle","Washington","United States"
11193,553,"Ian Gray","Bachelors","2-5 Miles",553,"Woodburn","Oregon","United States"
11194,352,"Jacqueline Price","Bachelors","2-5 Miles",352,"Palo Alto","California","United States"
11195,635,"Megan Henderson","Bachelors","10+ Miles",635,"Renton","Washington","United States"
11196,536,"Alfredo Romero","Bachelors","10+ Miles",536,"Beaverton","Oregon","United States"
11197,637,"Andrea Morris","Bachelors","1-2 Miles",637,"Seattle","Washington","United States"
11198,368,"Brooke Sanders","Bachelors","10+ Miles",368,"Santa Cruz","California","United States"
11199,302,"Jacqueline Bennett","Bachelors","10+ Miles",302,"Burlingame","California","United States"
11200,69,"Jason Griffin","Bachelors","1-2 Miles",69,"Victoria","British Columbia","Canada"
11201,369,"Amanda Foster","Bachelors","10+ Miles",369,"Santa Monica","California","United States"
11202,334,"Alexia Price","Bachelors","1-2 Miles",334,"Lakewood","California","United States"
11203,60,"Luis Diaz","High School","10+ Miles",60,"Port Hammond","British Columbia","Canada"
11204,536,"Destiny Rivera","High School","2-5 Miles",536,"Beaverton","Oregon","United States"
11205,612,"Abby Fernandez","High School","10+ Miles",612,"Burien","Washington","United States"
11206,626,"Blake Flores","Partial College","10+ Miles",626,"Lynnwood","Washington","United States"
11207,635,"Danielle Cox","Partial College","10+ Miles",635,"Renton","Washington","United States"
11208,325,"Maria Reed","Bachelors","10+ Miles",325,"Glendale","California","United States"
11209,336,"Allison Evans","Bachelors","10+ Miles",336,"Lincoln Acres","California","United States"
11210,383,"Edward Wood","Partial College","10+ Miles",383,"West Covina","California","United States"
11211,50,"Samantha Russell","High School","2-5 Miles",50,"Haney","British Columbia","Canada"
11212,53,"Chloe Campbell","High School","2-5 Miles",53,"Metchosin","British Columbia","Canada"
11213,614,"Stephanie Murphy","Partial College","10+ Miles",614,"Edmonds","Washington","United States"
11214,545,"Charles Miller","Partial College","10+ Miles",545,"Milwaukie","Oregon","United States"
11215,62,"Ana Perry","Partial High School","10+ Miles",62,"Royal Oak","British Columbia","Canada"
11216,547,"Jasmine Torres","Partial College","10+ Miles",547,"Portland","Oregon","United States"
11217,547,"Natalie Adams","Partial College","10+ Miles",547,"Portland","Oregon","United States"
11218,642,"Olivia Brown","Partial College","2-5 Miles",642,"Tacoma","Washington","United States"
11219,553,"Charles Cook","High School","10+ Miles",553,"Woodburn","Oregon","United States"
11220,310,"Erica Huang","Partial College","10+ Miles",310,"Colma","California","United States"
11221,334,"Nathan Perry","Partial College","1-2 Miles",334,"Lakewood","California","United States"
11222,369,"Alexandra Rivera","Bachelors","1-2 Miles",369,"Santa Monica","California","United States"
11223,52,"Hailey Patterson","High School","2-5 Miles",52,"Langley","British Columbia","Canada"
11224,612,"Tiffany Li","High School","10+ Miles",612,"Burien","Washington","United States"
11225,635,"Madison Lee","Partial College","10+ Miles",635,"Renton","Washington","United States"
11226,552,"Sydney Ross","Partial College","2-5 Miles",552,"W. Linn","Oregon","United States"
11227,310,"Marshall Chavez","Partial College","10+ Miles",310,"Colma","California","United States"
11228,316,"Ashley Jones","Partial College","10+ Miles",316,"El Cajon","California","United States"
11229,355,"Adrian Stewart","Partial College","10+ Miles",355,"Redwood City","California","United States"
11230,369,"Amber Turner","Partial College","2-5 Miles",369,"Santa Monica","California","United States"
11231,611,"Dennis Zhang","High School","10+ Miles",611,"Bremerton","Washington","United States"
11232,616,"Hailey Bryant","High School","2-5 Miles",616,"Everett","Washington","United States"
11233,299,"Todd Li","Partial College","10+ Miles",299,"Berkeley","California","United States"
11234,337,"Anna Griffin","Partial College","10+ Miles",337,"Long Beach","California","United States"
11235,607,"Angel Stewart","Partial College","10+ Miles",607,"Ballard","Washington","United States"
11236,609,"Jeremy Butler","Partial College","10+ Miles",609,"Bellingham","Washington","United States"
11237,161,"Clarence Anand","Bachelors","0-1 Miles",161,"Solingen","Nordrhein-Westfalen","Germany"
11238,232,"Mayra Prasad","Bachelors","0-1 Miles",232,"Birmingham","England","United Kingdom"
11239,249,"Latoya Goel","Partial College","5-10 Miles",249,"London","England","United Kingdom"
11240,273,"Anne Hernandez","Partial College","5-10 Miles",273,"Watford","England","United Kingdom"
11241,211,"Lisa Cai","Partial College","5-10 Miles",211,"Les Ulis","Essonne","France"
11242,209,"Larry Munoz","Partial College","5-10 Miles",209,"Versailles","Yveline","France"
11243,237,"Robin Alvarez","Partial College","0-1 Miles",237,"Esher-Molesey","England","United Kingdom"
11244,267,"Alexis Coleman","Bachelors","0-1 Miles",267,"Runcorn","England","United Kingdom"
11245,132,"Ricky Vazquez","High School","5-10 Miles",132,"Hamburg","Hessen","Germany"
11246,147,"Latasha Rubio","High School","5-10 Miles",147,"Hamburg","Hamburg","Germany"
11247,242,"Claudia Zhou","Partial College","0-1 Miles",242,"Lancaster","England","United Kingdom"
11248,223,"Tristan Alexander","Partial College","10+ Miles",223,"Saint-Denis","Seine Saint Denis","France"
11249,178,"Cindy Patel","Partial College","0-1 Miles",178,"Sulzbach Taunus","Saarland","Germany"
11250,276,"Shannon Liu","High School","5-10 Miles",276,"Woolston","England","United Kingdom"
11251,50,"Xavier Long","High School","5-10 Miles",50,"Haney","British Columbia","Canada"
11252,335,"Nicholas Thompson","Graduate Degree","2-5 Miles",335,"Lemon Grove","California","United States"
11253,69,"José Hernandez","Graduate Degree","1-2 Miles",69,"Victoria","British Columbia","Canada"
11254,612,"Johnathan Vance","Graduate Degree","5-10 Miles",612,"Burien","Washington","United States"
11255,612,"Colin Lin","Graduate Degree","5-10 Miles",612,"Burien","Washington","United States"
11256,626,"Katelyn Hernandez","Graduate Degree","5-10 Miles",626,"Lynnwood","Washington","United States"
11257,345,"Jacqueline Powell","Graduate Degree","2-5 Miles",345,"Newport Beach","California","United States"
11258,352,"Xavier Hill","Graduate Degree","2-5 Miles",352,"Palo Alto","California","United States"
11259,548,"Victoria Stewart","Partial College","2-5 Miles",548,"Salem","Oregon","United States"
11260,302,"Katelyn Kelly","Bachelors","2-5 Miles",302,"Burlingame","California","United States"
11261,359,"Stephanie Collins","Graduate Degree","0-1 Miles",359,"San Diego","California","United States"
11262,60,"Jennifer Simmons","Bachelors","0-1 Miles",60,"Port Hammond","British Columbia","Canada"
11263,612,"Trinity Richardson","Partial College","2-5 Miles",612,"Burien","Washington","United States"
11264,618,"Eduardo Martin","Partial College","0-1 Miles",618,"Issaquah","Washington","United States"
11265,623,"Elizabeth Jones","Partial College","0-1 Miles",623,"Kirkland","Washington","United States"
11266,632,"Taylor Howard","Partial College","5-10 Miles",632,"Port Orchard","Washington","United States"
11267,302,"David Diaz","Partial College","2-5 Miles",302,"Burlingame","California","United States"
11268,312,"Katelyn Carter","Graduate Degree","1-2 Miles",312,"Coronado","California","United States"
11269,314,"Ryan Foster","Graduate Degree","0-1 Miles",314,"Daly City","California","United States"
11270,334,"Robert Lee","Graduate Degree","0-1 Miles",334,"Lakewood","California","United States"
11271,360,"Danielle Reed","Bachelors","1-2 Miles",360,"San Francisco","California","United States"
11272,300,"Lauren Martinez","Partial College","5-10 Miles",300,"Beverly Hills","California","United States"
11273,331,"Nathan Lal","Partial College","10+ Miles",331,"La Jolla","California","United States"
11274,609,"Kyle Foster","Graduate Degree","5-10 Miles",609,"Bellingham","Washington","United States"
11275,310,"Jenny Rai","Graduate Degree","0-1 Miles",310,"Colma","California","United States"
11276,49,"Nancy Chapman","Partial College","2-5 Miles",49,"Cliffside","British Columbia","Canada"
11277,62,"Charles Jackson","Partial College","0-1 Miles",62,"Royal Oak","British Columbia","Canada"
11278,614,"Jonathan Phillips","Partial College","10+ Miles",614,"Edmonds","Washington","United States"
11279,616,"Amanda Cook","Partial College","10+ Miles",616,"Everett","Washington","United States"
11280,626,"Robert Collins","Partial College","10+ Miles",626,"Lynnwood","Washington","United States"
11281,301,"Megan Barnes","Bachelors","5-10 Miles",301,"Burbank","California","United States"
11282,612,"Christian Thomas","Partial College","1-2 Miles",612,"Burien","Washington","United States"
11283,299,"Arturo Lal","Bachelors","1-2 Miles",299,"Berkeley","California","United States"
11284,307,"Theresa Serrano","Bachelors","1-2 Miles",307,"Chula Vista","California","United States"
11285,322,"Jeremy Anderson","Partial College","2-5 Miles",322,"Fremont","California","United States"
11286,374,"Hunter Griffin","Graduate Degree","2-5 Miles",374,"Torrance","California","United States"
11287,49,"Henry Garcia","Partial College","5-10 Miles",49,"Cliffside","British Columbia","Canada"
11288,301,"Cindy Sanchez","Bachelors","2-5 Miles",301,"Burbank","California","United States"
11289,315,"Maria Carter","Bachelors","0-1 Miles",315,"Downey","California","United States"
11290,334,"Katelyn Sanchez","Bachelors","2-5 Miles",334,"Lakewood","California","United States"
11291,335,"Jenna Wright","Bachelors","2-5 Miles",335,"Lemon Grove","California","United States"
11292,361,"Seth Phillips","Partial College","0-1 Miles",361,"San Gabriel","California","United States"
11293,632,"Luke Long","High School","1-2 Miles",632,"Port Orchard","Washington","United States"
11294,618,"Dalton Clark","High School","1-2 Miles",618,"Issaquah","Washington","United States"
11295,311,"Taylor Lewis","Partial High School","5-10 Miles",311,"Concord","California","United States"
11296,616,"Haley Richardson","Graduate Degree","5-10 Miles",616,"Everett","Washington","United States"
11297,301,"Noah Coleman","Graduate Degree","5-10 Miles",301,"Burbank","California","United States"
11298,307,"Jon Luo","Graduate Degree","1-2 Miles",307,"Chula Vista","California","United States"
11299,301,"Orlando Vazquez","Graduate Degree","1-2 Miles",301,"Burbank","California","United States"
11300,54,"Fernando Barnes","Partial College","1-2 Miles",54,"N. Vancouver","British Columbia","Canada"
11301,607,"Cameron Rodriguez","Partial College","5-10 Miles",607,"Ballard","Washington","United States"
11302,539,"Spencer Russell","High School","1-2 Miles",539,"Corvallis","Oregon","United States"
11303,614,"Julia Coleman","High School","1-2 Miles",614,"Edmonds","Washington","United States"
11304,547,"Julia Garcia","Partial College","5-10 Miles",547,"Portland","Oregon","United States"
11305,307,"Sean Evans","Partial College","2-5 Miles",307,"Chula Vista","California","United States"
11306,312,"Micah Zhou","Partial College","2-5 Miles",312,"Coronado","California","United States"
11307,314,"Hunter Rodriguez","Partial High School","5-10 Miles",314,"Daly City","California","United States"
11308,546,"Ian Gonzales","High School","1-2 Miles",546,"Oregon City","Oregon","United States"
11309,536,"Victoria Lewis","High School","5-10 Miles",536,"Beaverton","Oregon","United States"
